City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,khatanga,71.9667,102.5,258.21,93,100,6.19,RU,1679759453
84,new norfolk,-42.7826,147.0587,284.1,67,7,1.13,AU,1679759453
85,hermanus,-34.4187,19.2345,291.93,88,61,7.66,ZA,1679759453
86,fukue,32.6881,128.8419,286.12,87,100,8.34,JP,1679759454
87,barrow,71.2906,-156.7887,256.16,78,100,9.77,US,1679759454
88,jamestown,42.097,-79.2353,280.77,98,100,9.26,US,1679759455
89,awjilah,29.1081,21.2869,295.6,28,0,7.63,LY,1679759455
90,mehamn,71.0357,27.8492,265.1,67,20,3.6,NO,1679759455
91,east london,-33.0153,27.9116,293.67,83,0,4.12,ZA,1679759455
92,cherskiy,68.75,161.3,250.63,86,100,1.59,RU,1679759456
93,rocha,-34.4833,-54.3333,292.86,97,100,4.45,UY,1679759456
94,waitati,-45.75,170.5667,285.82,74,100,1.38,NZ,1679759456
95,roma,43.2128,-75.4557,276.53,77,100,5.66,US,1679759283
96,buin,-33.7333,-70.75,304.33,10,0,2.3,CL,1679759457
97,avarua,-21.2078,-159.775,298.18,100,40,0.51,CK,1679759457
98,pemangkat,1.1667,108.9667,297.89,84,100,0.58,ID,1679759458
99,coihaique,-45.5752,-72.0662,285.12,50,0,1.54,CL,1679759459
100,caravelas,-17.7125,-39.2481,303.07,59,12,3.75,BR,1679759459
101,college,64.8569,-147.8028,257.36,75,40,0.0,US,1679759294
102,carnarvon,-24.8667,113.6333,296.93,79,4,8.4,AU,1679759460
103,airai,-8.9266,125.4092,288.91,95,87,0.38,TL,1679759461
104,arlit,18.7369,7.3853,305.7,8,1,8.01,NE,1679759461
105,okoneshnikovo,54.8377,75.0834,274.43,99,100,6.54,RU,1679759461
106,broken hill,-31.95,141.4333,290.59,35,99,4.02,AU,1679759462
107,lompoc,34.6391,-120.4579,283.58,70,0,9.83,US,1679759277
108,socorro,31.6546,-106.3033,284.44,34,0,4.12,US,1679759463
109,mahibadhoo,3.7833,72.9667,301.11,76,9,3.67,MV,1679759463
110,saldanha,-33.0117,17.9442,294.18,88,38,4.32,ZA,1679759463
111,upernavik,72.7868,-56.1549,250.03,80,23,1.46,GL,1679759464
112,berdigestyakh,62.0989,126.6992,267.66,95,100,3.9,RU,1679759465
113,kieta,-6.2167,155.6333,298.51,79,99,1.51,PG,1679759466
114,chiang klang,19.2938,100.8617,299.68,33,15,0.64,TH,1679759466
115,hare bay,48.8499,-54.0148,276.79,90,91,8.27,CA,1679759466
116,georgetown,5.4112,100.3354,300.11,94,40,0.51,MY,1679759414
117,narsaq,60.9167,-46.05,273.27,54,0,1.27,GL,1679759467
118,berlevag,70.8578,29.0864,265.12,67,40,4.63,NO,1679759467
119,karratha,-20.7377,116.8463,302.29,69,82,2.33,AU,1679759468
120,viedma,-40.8135,-62.9967,292.28,47,1,8.96,AR,1679759187
121,tasiilaq,65.6145,-37.6368,263.24,89,100,3.44,GL,1679759469
122,lebu,-37.6167,-73.65,288.55,69,0,8.93,CL,1679759469
123,makakilo city,21.3469,-158.0858,295.75,80,0,3.6,US,1679759470
124,ponta do sol,32.6667,-17.1,298.55,65,97,2.45,PT,1679759471
125,bhongir,17.5108,78.8889,301.76,69,73,5.17,IN,1679759471
126,necochea,-38.5473,-58.7368,296.35,65,13,6.69,AR,1679759472
127,susurluk,39.9136,28.1578,294.42,66,0,1.08,TR,1679759472
128,chapais,49.7834,-74.8492,271.03,83,37,3.62,CA,1679759472
129,hofn,64.2539,-15.2082,272.45,58,46,3.97,IS,1679759473
130,butaritari,3.0707,172.7902,300.02,82,50,6.94,KI,1679759474
131,salo,45.6086,10.531,294.44,46,16,4.83,IT,1679759475
132,singaraja,-8.112,115.0882,300.0,82,100,0.69,ID,1679759476
133,kutum,14.2,24.6667,301.96,16,25,6.7,SD,1679759476
134,hithadhoo,-0.6,73.0833,300.91,77,19,3.34,MV,1679759476
135,bathsheba,13.2167,-59.5167,302.49,58,40,10.8,BB,1679759477
136,bima,-8.4667,118.7167,297.9,93,98,0.83,ID,1679759477
137,yerbogachen,61.2767,108.0108,267.59,93,97,4.17,RU,1679759478
138,faanui,-16.4833,-151.75,300.74,73,100,3.81,PF,1679759479
139,auki,-8.7676,160.7034,298.09,81,100,0.72,SB,1679759479
140,superior,46.7208,-92.1041,278.0,46,0,4.12,US,1679759340
141,kyshtovka,56.555,76.6271,274.27,96,100,5.07,RU,1679759480
142,biak,-0.9131,122.8766,297.98,85,99,0.81,ID,1679759480
143,esso,55.9333,158.7,251.99,90,80,5.47,RU,1679759481
144,znamenskoye,57.1281,73.8282,274.71,97,100,4.31,RU,1679759481
145,braintree,51.8782,0.5529,287.8,63,17,3.58,GB,1679759482
146,port hardy,50.6996,-127.4199,278.15,100,100,3.6,CA,1679759483
147,batemans bay,-35.7167,150.1833,292.09,93,85,1.31,AU,1679759483
148,tallahassee,30.4383,-84.2807,298.63,89,100,4.63,US,1679759460
149,nioro,13.35,-15.75,311.46,18,0,2.13,GM,1679759484
150,shenjiamen,29.9576,122.298,281.46,82,100,7.32,CN,1679759485
151,urubamba,-13.3047,-72.1158,289.65,74,100,1.86,PE,1679759485
152,patiya,22.2931,91.9762,300.12,74,0,3.09,BD,1679759486
153,vostok,46.4856,135.8833,264.18,92,48,2.06,RU,1679759486
154,onokhoy,51.932,108.0747,269.01,87,100,1.5,RU,1679759486
155,mahebourg,-20.4081,57.7,300.31,78,75,1.54,MU,1679759487
156,olafsvik,64.8945,-23.7142,271.29,63,79,5.95,IS,1679759488
157,linjiang,41.8069,126.9078,271.41,39,90,1.1,CN,1679759488
158,mikhaylovka,50.06,43.2379,288.59,66,89,1.16,RU,1679759489
159,saint anthony,45.0205,-93.218,277.12,62,100,3.6,US,1679759489
160,udachnyy,66.4167,112.4,252.08,100,37,2.62,RU,1679759490
161,lorengau,-2.0226,147.2712,300.31,71,100,2.03,PG,1679759491
162,portoferraio,42.8115,10.3146,292.02,51,0,4.63,IT,1679759491
163,saskylakh,71.9167,114.0833,256.09,95,97,3.3,RU,1679759492
164,anadyr,64.75,177.4833,272.43,92,100,13.0,RU,1679759493
165,altea,38.5989,-0.0514,295.03,63,59,2.24,ES,1679759493
166,waingapu,-9.6567,120.2641,299.15,84,15,1.5,ID,1679759494
167,nuuk,64.1835,-51.7216,267.49,79,20,6.17,GL,1679759494
168,poum,-20.2333,164.0167,299.38,79,100,3.37,NC,1679759468
169,bara,10.3744,10.7288,308.67,23,82,2.96,NG,1679759495
170,nizwa,22.9333,57.5333,298.8,27,4,1.09,OM,1679759495
171,ourossogui,15.6064,-13.3211,314.15,14,0,3.09,SN,1679759496
172,muros,42.7762,-9.0603,288.2,87,100,10.15,ES,1679759496
173,saint george,37.1041,-113.5841,277.83,59,0,1.79,US,1679759224
174,pineville,31.3224,-92.4343,298.64,64,0,4.12,US,1679759497
175,riyadh,24.6877,46.7219,302.23,17,79,8.05,SA,1679759400
176,pacific grove,36.6177,-121.9166,281.85,78,20,5.81,US,1679759310
177,ofunato,39.0717,141.7167,278.7,87,99,0.79,JP,1679759497
178,nikolskoye,59.7035,30.7861,276.09,84,100,4.77,RU,1679759498
179,saint-francois,46.4154,3.9054,286.84,58,0,3.6,FR,1679759478
180,chokurdakh,70.6333,147.9167,238.58,100,10,1.43,RU,1679759498
181,esperance,-33.8667,121.9,292.05,92,98,6.09,AU,1679759499
182,champerico,14.3,-91.9167,301.45,61,90,0.98,GT,1679759499
183,ahipara,-35.1667,173.1667,287.28,87,11,1.63,NZ,1679759214
184,sayyan,15.1718,44.3244,291.97,45,66,4.23,YE,1679759500
185,yulara,-25.2406,130.9889,296.6,22,2,1.98,AU,1679759500
186,pontian kecil,1.4801,103.3899,299.44,91,100,3.39,MY,1679759500
187,qinhuangdao,39.9317,119.5883,276.11,36,0,2.48,CN,1679759501
188,abomsa,9.9833,39.9833,296.72,61,98,2.83,ET,1679759501
189,bairiki,1.3292,172.9752,300.15,89,75,3.09,KI,1679759501
190,at-bashi,41.1702,75.8106,268.48,80,6,1.55,KG,1679759502
