City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
409,sault sainte marie,46.5168,-84.3333,4.31,74,0,8.23,CA,1679859108
410,jacqueville,5.2052,-4.4146,27.3,85,99,5.38,CI,1679859401
411,kyren,51.6828,102.1408,-3.35,78,5,1.04,RU,1679859401
412,wanning,18.8003,110.3967,24.14,90,31,2.78,CN,1679859402
413,karratha,-20.7377,116.8463,28.74,70,36,2.8,AU,1679859402
414,waddan,29.1614,16.139,20.0,26,0,4.18,LY,1679859402
415,georgiyevka,43.0369,74.7114,8.02,76,92,2.0,KZ,1679859403
416,ca mau,9.1769,105.15,24.58,82,67,1.49,VN,1679859403
417,carutapera,-1.195,-46.02,27.36,79,82,3.22,BR,1679859403
418,buala,-8.145,159.5921,26.8,82,76,2.64,SB,1679859404
419,tiksi,71.6872,128.8694,-17.11,96,100,2.78,RU,1679859404
420,makakilo city,21.3469,-158.0858,26.18,64,0,4.12,US,1679859404
421,gympie,-26.1898,152.665,19.53,93,74,0.57,AU,1679859405
422,beringovskiy,63.05,179.3167,-18.72,96,29,2.12,RU,1679859405
423,la salle,41.3334,-89.0918,17.02,62,100,3.13,US,1679859405
424,palekh,56.8028,41.8572,7.82,94,100,3.92,RU,1679859406
425,prainha,-1.8,-53.48,26.85,88,77,1.1,BR,1679859406
426,vardo,70.3705,31.1107,-3.01,74,40,8.23,NO,1679859406
427,manokwari,-0.8667,134.0833,25.48,80,98,1.93,ID,1679859407
428,ekibastuz,51.6667,75.3667,4.48,81,100,5.81,KZ,1679859407
429,mountain home,43.133,-115.6912,4.68,57,75,10.29,US,1679859407
430,vila franca do campo,37.7167,-25.4333,17.23,93,100,10.74,PT,1679859408
431,neryungri,56.6709,124.6491,-21.17,97,27,1.96,RU,1679859409
432,yulara,-25.2406,130.9889,18.86,85,65,3.16,AU,1679859409
433,garden city,42.3256,-83.331,14.0,39,75,6.17,US,1679859409
434,cabo san lucas,22.8909,-109.9124,25.9,45,20,3.09,MX,1679859410
435,ruteng,-8.6136,120.4721,17.08,93,89,0.26,ID,1679859410
436,san,13.3034,-4.8956,33.29,8,7,3.84,ML,1679859411
437,abbeville,50.1,1.8333,7.92,77,96,6.46,FR,1679859409
438,kolokani,13.5728,-8.0339,32.31,10,4,0.29,ML,1679859411
439,derbent,42.0678,48.2899,12.84,68,96,4.95,RU,1679859411
440,vao,-22.6667,167.4833,25.37,86,5,3.01,NC,1679859412
441,tigre,-34.426,-58.5796,24.58,40,0,2.57,AR,1679859412
442,konispol,39.6589,20.1814,12.53,79,11,0.88,AL,1679859412
443,opochka,56.7105,28.6617,3.62,94,70,1.74,RU,1679859413
444,chandler,33.3062,-111.8412,20.35,22,0,5.66,US,1679858900
445,awjilah,29.1081,21.2869,18.96,44,0,4.91,LY,1679859413
446,zernograd,46.8452,40.3083,8.69,93,61,2.28,RU,1679859414
447,kidal,18.4411,1.4078,27.71,11,0,5.22,ML,1679859414
448,mocuba,-16.8392,36.9856,21.72,89,100,0.47,MZ,1679859415
449,entebbe,0.0644,32.4469,20.18,88,40,3.09,UG,1679859415
450,moissala,8.3404,17.7663,27.18,20,91,1.43,TD,1679859415
451,sao jose da coroa grande,-8.8978,-35.1478,26.54,80,85,4.97,BR,1679859416
452,myskhako,44.6714,37.7433,8.88,95,100,3.72,RU,1679859416
453,samarai,-10.6167,150.6667,27.93,79,99,5.99,PG,1679859416
454,abeche,13.8292,20.8324,26.76,18,2,5.18,TD,1679859417
455,batemans bay,-35.7167,150.1833,19.5,95,100,1.75,AU,1679859417
456,liuzhou,24.3126,109.3892,13.07,85,100,4.7,CN,1679859417
457,namtsy,62.7161,129.6658,-15.62,98,97,2.45,RU,1679859418
458,adrar,20.5022,-10.0711,26.07,6,0,3.93,MR,1679859418
459,araouane,18.9048,-3.5265,28.25,10,76,0.63,ML,1679859418
460,baherden,38.4362,57.4316,19.79,21,81,2.75,TM,1679859419
461,oshikango,-17.4,15.8833,21.33,81,94,3.11,NA,1679859419
462,ahar,38.4774,47.0699,11.97,66,100,4.2,IR,1679859420
463,sola,-13.8833,167.55,27.55,73,100,1.82,VU,1679859420
464,iqaluit,63.7506,-68.5145,-9.15,78,40,4.63,CA,1679859420
465,ossora,59.2353,163.0719,-22.06,81,2,2.99,RU,1679859421
466,zheleznodorozhnyy,55.7503,38.0042,6.31,98,100,3.71,RU,1679859421
467,yenagoa,4.9247,6.2642,25.45,88,95,1.67,NG,1679859421
468,la rioja,42.25,-2.5,8.88,81,3,2.65,ES,1679859422
469,pedro ii,-4.4247,-41.4586,23.63,89,70,1.95,BR,1679859422
470,surin,14.8818,103.4936,31.07,87,1,2.86,TH,1679859423
471,suntar,62.1444,117.6319,-2.71,91,100,3.77,RU,1679859423
472,itarema,-2.9248,-39.9167,27.07,80,14,2.77,BR,1679859424
473,candolim,15.5181,73.7626,25.0,69,2,5.14,IN,1679859424
474,komsomolets,53.7453,62.0708,2.6,100,100,4.15,KZ,1679859424
475,chik,54.9928,82.4311,2.86,70,0,5.0,RU,1679859425
476,sorland,67.667,12.6934,-0.08,52,6,5.97,NO,1679859425
477,kenai,60.5544,-151.2583,-2.14,58,0,2.57,US,1679859426
478,aviles,43.5547,-5.9248,13.28,78,40,6.17,ES,1679859376
479,manggar,-2.8833,108.2667,25.94,83,96,2.04,ID,1679859426
480,luau,-10.7073,22.2247,19.16,98,100,1.33,AO,1679859427
481,quelimane,-17.8786,36.8883,25.97,89,20,2.57,MZ,1679859427
482,coronado,32.6859,-117.1831,19.73,56,20,5.81,US,1679859428
483,lavrentiya,65.5833,-171.0,-7.05,96,47,5.44,RU,1679859428
484,nishihara,26.1842,127.7558,18.6,91,75,3.09,JP,1679859428
485,abha,18.2164,42.5053,15.9,88,40,5.14,SA,1679859429
486,nicholasville,37.8806,-84.573,20.77,32,0,3.09,US,1679859429
